A1	GND
A2	USB_CC1
A3	GND
A4	PWM6
A5	PWM4
A6	PWM2
A7	PWM0
A8	GND
A9	ENC3_X
A10	ENC2_X
A11	ENC1_X
A12	ENC0_X
A13	GND
A14	ANA_S6
A15	ANA_S4
A16	ANA_S2
A17	ANA_S0
A18	GND
A19	DAC0
A20	GND
A21	CAN_STBY
A22	GND
A23	I2C3_SDA
A24	I2C3_SCL
A25	IO35
A26	GND
A27	PCIE1_TX0_P
A28	PCIE1_TX1_P
A29	PCIE1_TX2_P
A30	PCIE1_TX3_P
A31	PCIE1_RX0_P
A32	PCIE1_RX1_P
A33	PCIE1_RX2_P
A34	PCIE1_RX3_P
A35	GND
A36	PCIE1_CLK_P
A37	GND
A38	PCIE0_TX0_P
A39	PCIE0_TX1_P
A40	PCIE0_TX2_P
A41	PCIE0_TX3_P
A42	PCIE0_RX0_P
A43	PCIE0_RX1_P
A44	PCIE0_RX2_P
A45	PCIE0_RX3_P
A46	GND
A47	PCIE0_CLK_P
A48	GND
A49	DSI1_C_P
A50	DSI1_3_P
A51	DSI1_2_P
A52	DSI1_1_P
A53	DSI1_0_P
A54	GND
A55	BL_LED_K
A56	GND
A57	DSI0_C_P
A58	DSI0_3_P
A59	DSI0_2_P
A60	DSI0_1_P
A61	DSI0_0_P
A62	GND
A63	GND
A64	GND
AA1	MODULE_EN
AA2	UART0_TX
AA3	LCD_B23
AA62	RSVD
AA63	GND
AA64	GND
AB1	MODULE_STBY
AB2	UART0_RX
AB3	LCD_HSYNC
AB62	RSVD
AB63	CSI2_3_P
AB64	CSI2_3_N
AC1	GND
AC2	GND
AC3	LCD_VSYNC
AC62	DBG_TX
AC63	CSI2_2_P
AC64	CSI2_2_N
AD1	SPI0_MISO
AD2	SPI0_MOSI
AD3	NC
AD62	DBG_RX
AD63	CSI2_C_P
AD64	CSI2_C_N
AE1	SPI0_CS0
AE2	SPI0_SCLK
AE3	NC
AE62	RSVD
AE63	CSI2_1_P
AE64	CSI2_1_N
AF1	SPI0_CS1
AF2	IO4
AF3	NC
AF62	RSVD
AF63	CSI2_0_P
AF64	CSI2_0_N
AG1	GND
AG2	IO5
AG3	NC
AG62	RSVD
AG63	GND
AG64	GND
AH1	I2C0_SCL
AH2	I2C0_SDA
AH3	NC
AH62	RSVD
AH63	CSI3_3_P
AH64	CSI3_3_N
AI1	GND
AI2	GND
AI3	NC
AI62	RSVD
AI63	CSI3_2_P
AI64	CSI3_2_N
AJ1	JTAG_TCK/SWDCLK
AJ2	JTAG_TDI
AJ3	NC
AJ62	RSVD
AJ63	CSI3_C_P
AJ64	CSI3_C_N
AK1	JTAG_TMS/SWDIO
AK2	JTAG_TDO
AK3	NC
AK62	RSVD
AK63	CSI3_1_P
AK64	CSI3_1_N
AL1	JTAG_nRST
AL2	IO6
AL3	NC
AL62	RSVD
AL63	CSI3_0_P
AL64	CSI3_0_N
AM1	GND
AM2	GND
AM3	NC
AM62	RSVD
AM63	GND
AM64	GND
AN1	ANT_6GHz
AN2	GND
AN3	NC
AN62	RSVD
AN63	IO27
AN64	IO28
AO1	GND
AO2	GND
AO3	NC
AO62	RSVD
AO63	IO29
AO64	IO30
AP1	ANT_5GHz
AP2	GND
AP3	NC
AP62	RSVD
AP63	IO31
AP64	IO32
AQ1	GND
AQ2	GND
AQ3	GND
AQ4	I2S0_SDI
AQ5	I2S0_SCLK
AQ6	GND
AQ7	PDM_C0
AQ8	PDM_C1
AQ9	GND
AQ10	I2S1_SDO
AQ11	I2S1_WS
AQ12	GND
AQ13	SPI1_MISO
AQ14	SPI1_MOSI
AQ15	GND
AQ16	RTC_CLKOUT
AQ17	UART1_TX
AQ18	GND
AQ19	I3C_SCL
AQ20	GND
AQ21	IO9
AQ22	IO11
AQ23	IO13
AQ24	IO15
AQ25	+S_CAP
AQ26	IO17
AQ27	IO19
AQ28	IO21
AQ29	GND
AQ30	SD_VDD_OUT
AQ31	SD_CLK
AQ32	SD_D0
AQ33	SD_D2
AQ34	SD_DET
AQ35	GND
AQ36	NC
AQ37	NC
AQ38	NC
AQ39	NC
AQ40	NC
AQ41	NC
AQ42	NC
AQ43	NC
AQ44	NC
AQ45	NC
AQ46	GND
AQ47	I2C1_SCL
AQ48	GND
AQ49	ETH1_DD_P
AQ50	ETH1_DC_P
AQ51	ETH1_DB_P
AQ52	ETH1_DA_P
AQ53	ETH1_LED0
AQ54	GND
AQ55	GND
AQ56	ETH0_DD_P
AQ57	ETH0_DC_P
AQ58	ETH0_DB_P
AQ59	ETH0_DA_P
AQ60	ETH0_LED0
AQ61	GND
AQ62	RVSD
AQ63	IO33
AQ64	IO34
AR1	ANT_2.4GHz
AR2	GND
AR3	GND
AR4	I2S0_SDO
AR5	I2S0_WS
AR6	GND
AR7	PDM_D0
AR8	PDM_D1
AR9	AUDIO_CLK
AR10	I2S1_SDI
AR11	I2S1_SCLK
AR12	GND
AR13	SPI1_CS1
AR14	SPI1_CS0
AR15	SPI1_SCLK
AR16	GND
AR17	UART1_RX
AR18	GND
AR19	I3C_SDA
AR20	GND
AR21	IO8
AR22	IO10
AR23	IO12
AR24	IO14
AR25	IO16
AR26	IO18
AR27	IO20
AR28	IO22
AR29	IO24
AR30	GND
AR31	SD_CMD
AR32	SD_RST
AR33	SD_D1
AR34	SD_D3
AR35	GND
AR36	NC
AR37	NC
AR38	NC
AR39	NC
AR40	NC
AR41	NC
AR42	NC
AR43	NC
AR44	NC
AR45	NC
AR46	GND
AR47	I2C1_SDA
AR48	GND
AR49	ETH1_DD_N
AR50	ETH1_DC_N
AR51	ETH1_DB_N
AR52	ETH1_DA_N
AR53	ETH1_LED1
AR54	GND
AR55	GND
AR56	ETH0_DD_N
AR57	ETH0_DC_N
AR58	ETH0_DB_N
AR59	ETH0_DA_N
AR60	ETH0_LED1
AR61	GND
AR62	RVSD
AR63	GND
AR64	GND
B1	USB0_30_D_P
B2	USB_CC2
B3	GND
B4	PWM7
B5	PWM5
B6	PWM3
B7	PWM1
B8	GND
B9	ENC3_Y
B10	ENC2_Y
B11	ENC1_Y
B12	ENC0_Y
B13	GND
B14	ANA_S7
B15	ANA_S5
B16	ANA_S3
B17	ANA_S1
B18	GND
B19	DAC1
B20	GND
B21	CAN0H/CAN0_TX
B22	CAN0L/CAN0_RX
B23	GND
B24	CAN1H/CAN1_TX
B25	CAN1L/CAN1_RX
B26	GND
B27	PCIE1_TX0_N
B28	PCIE1_TX1_N
B29	PCIE1_TX2_N
B30	PCIE1_TX3_N
B31	PCIE1_RX0_N
B32	PCIE1_RX1_N
B33	PCIE1_RX2_N
B34	PCIE1_RX3_N
B35	GND
B36	PCIE1_CLK_N
B37	GND
B38	PCIE0_TX0_N
B39	PCIE0_TX1_N
B40	PCIE0_TX2_N
B41	PCIE0_TX3_N
B42	PCIE0_RX0_N
B43	PCIE0_RX1_N
B44	PCIE0_RX2_N
B45	PCIE0_RX3_N
B46	GND
B47	PCIE0_CLK_N
B48	GND
B49	DSI1_C_N
B50	DSI1_3_N
B51	DSI1_2_N
B52	DSI1_1_N
B53	DSI1_0_N
B54	GND
B55	BL_LED_A
B56	GND
B57	DSI0_C_N
B58	DSI0_3_N
B59	DSI0_2_N
B60	DSI0_1_N
B61	DSI0_0_N
B62	GND
B63	SPI2_MISO
B64	SPI2_MOSI
C1	USB0_30_D_N
C2	USB0_30_VBUS
C3	GND
C62	CAM_HSYNC
C63	SPI2_SCLK
C64	SPI2_CS0
D1	GND
D2	USB0_30_ID
D3	LCD_B0
D62	CAM_VSYNC
D63	NC
D64	SPI2_CS1
E1	USB0_30_RX0_P
E2	GND
E3	LCD_B1
E62	CAM_PCLK
E63	I2C2_SDA
E64	I2C2_SCL
F1	USB0_30_RX0_N
F2	USB2_20_VBUS
F3	LCD_B2
F62	CAM_XVCLK
F63	IO25
F64	IO26
G1	GND
G2	USB2_20_ID
G3	LCD_B3
G62	CAM_D1
G63	GND
G64	GND
H1	USB0_30_TX0_P
H2	GND
H3	LCD_B4
H62	CAM_D2
H63	CAM_VFB0
H64	+V_CAM0
I1	USB0_30_TX0_N
I2	USB2_20_P
I3	LCD_B5
I62	CAM_D3
I63	GND
I64	GND
J1	GND
J2	USB2_20_N
J3	LCD_B6
J62	CAM_D4
J63	CAM_VFB1
J64	+V_CAM1
K1	USB1_30_D_P
K2	GND
K3	LCD_B7
K62	CAM_D5
K63	GND
K64	GND
L1	USB1_30_D_N
L2	IO0
L3	LCD_B8
L62	CAM_D6
L63	CAM_VFB2
L64	+V_CAM2
M1	GND
M2	IO1
M3	LCD_B9
M62	CAM_D7
M63	GND
M64	GND
N1	USB1_30_RX0_P
N2	IO2
N3	LCD_B10
N62	CAM_D8
N63	CAM_VFB3
N64	+V_CAM3
O1	USB1_30_RX0_N
O2	IO3
O3	LCD_B11
O62	CAM_D9
O63	GND
O64	GND
P1	GND
P2	GND
P3	LCD_B12
P62	CAM_D10
P63	CSI0_3_P
P64	CSI0_3_N
Q1	USB1_30_TX0_P
Q2	USB1_30_VBUS
Q3	LCD_B13
Q62	CAM_D11
Q63	CSI0_2_P
Q64	CSI0_2_N
R1	USB1_30_TX0_N
R2	USB1_30_ID
R3	LCD_B14
R62	CAM_D12
R63	CSI0_C_P
R64	CSI0_C_N
S1	GND
S2	GND
S3	LCD_B15
S62	CAM_D13
S63	CSI0_1_P
S64	CSI0_1_N
T1	VDD_5V_IN
T2	VDD_5V_IN
T3	LCD_B16
T62	CAM_D14
T63	CSI0_0_P
T64	CSI0_0_N
U1	VDD_5V_IN
U2	VDD_5V_IN
U3	LCD_B17
U62	CAM_D15
U63	GND
U64	GND
V1	VDD_5V_IN
V2	VDD_5V_IN
V3	LCD_B18
V62	CAM_D16
V63	CSI1_3_P
V64	CSI1_3_N
W1	VIO_OUT
W2	VIO_OUT
W3	LCD_B19
W62	RSVD
W63	CSI1_2_P
W64	CSI1_2_N
X1	BOOT2
X2	BOOT1
X3	LCD_B20
X62	RSVD
X63	CSI1_C_P
X64	CSI1_C_N
Y1	BOOT3
Y2	BOOT0
Y3	LCD_B21
Y62	RSVD
Y63	CSI1_1_P
Y64	CSI1_1_N
Z1	PORn
Z2	GND
Z3	LCD_B22
Z62	RSVD
Z63	CSI1_0_P
Z64	CSI1_0_N
